,url,name,category,price,price_per_kg,amount_kg,last_price_update,is_available,product_menu_url,_pk
2622,https://basalam.com/saeedgol/product/22236697,کود نیترات کلسیم فیروزه,,28000,nan,,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=54,https://basalam.com/saeedgol/product/22236697::کود نیترات کلسیم فیروزه
2623,https://basalam.com/reyhan_giyah_products/product/18269952,گیاه گل بنفشه پودرشده با کیفیت عالی، بار امسالی و تازه(500گرم),,3684000,7368000,0.5,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=54,https://basalam.com/reyhan_giyah_products/product/18269952::گیاه گل بنفشه پودرشده با کیفیت عالی، بار امسالی و تازه(500گرم)
2624,https://basalam.com/reyhan_giyah_products/product/20955319,ریشه کاسنی با کیفیت عالی، بار امسالی و تازه(250 گرمی),,200000,800000,0.25,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=54,https://basalam.com/reyhan_giyah_products/product/20955319::ریشه کاسنی با کیفیت عالی، بار امسالی و تازه(250 گرمی)
2625,https://basalam.com/reyhan_giyah_products/product/20954916,گیاه جعفری با کیفیت عالی، بار امسالی و تازه(500گرمی),,341000,682000,0.5,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=54,https://basalam.com/reyhan_giyah_products/product/20954916::گیاه جعفری با کیفیت عالی، بار امسالی و تازه(500گرمی)
2626,https://basalam.com/reyhan_giyah_products/product/18269237,گیاه کنگر فرنگی پودر شده با کیفیت عالی، بار امسالی و تازه(500گرمی),,331500,663000,0.5,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=54,https://basalam.com/reyhan_giyah_products/product/18269237::گیاه کنگر فرنگی پودر شده با کیفیت عالی، بار امسالی و تازه(500گرمی)
2627,https://basalam.com/reyhan_giyah_products/product/20955213,صمغ صبر زرد با کیفیت عالی، بار امسالی و تازه(500 گرمی),,1311500,2623000,0.5,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=54,https://basalam.com/reyhan_giyah_products/product/20955213::صمغ صبر زرد با کیفیت عالی، بار امسالی و تازه(500 گرمی)
2628,https://basalam.com/tetaco/product/261718,کود سولفات روی تتاکو مناسب گلدان و باغچه وزن 120 گرم,,50000,416666.666666666,0.12,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=55,https://basalam.com/tetaco/product/261718::کود سولفات روی تتاکو مناسب گلدان و باغچه وزن 120 گرم
2629,https://basalam.com/tetaco/product/307455,کود NPK 10-50-10 تتاکو مناسب گلدان و باغچه وزن 120 گرم,,50000,416666.666666666,0.12,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=55,https://basalam.com/tetaco/product/307455::کود NPK 10-50-10 تتاکو مناسب گلدان و باغچه وزن 120 گرم
2630,https://basalam.com/feloor1/product/20968102,کود پودری فروت ست سبز آرین,,175000,nan,,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=55,https://basalam.com/feloor1/product/20968102::کود پودری فروت ست سبز آرین
2631,https://basalam.com/fresa-accessory/product/25317947,قرص کود ارگانیک,,299000,nan,,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=55,https://basalam.com/fresa-accessory/product/25317947::قرص کود ارگانیک
2632,https://basalam.com/hypersabz/product/24596719,کود مایع هورمون ریشه زایی 200cc(پس کرایه),,79000,nan,,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=56,https://basalam.com/hypersabz/product/24596719::کود مایع هورمون ریشه زایی 200cc(پس کرایه)
2633,https://basalam.com/hypersabz/product/25044738,کوکوپیت ، پیت ماس و پرلیت مناسب قلمه زدن(پس کرایه),,39000,nan,,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=56,https://basalam.com/hypersabz/product/25044738::کوکوپیت ، پیت ماس و پرلیت مناسب قلمه زدن(پس کرایه)
2634,https://basalam.com/hyde-store/product/23816299,گیاه کنگر فرنگی با کیفیت عالی، بار امسالی و تازه(500گرمی),,321500,643000,0.5,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=56,https://basalam.com/hyde-store/product/23816299::گیاه کنگر فرنگی با کیفیت عالی، بار امسالی و تازه(500گرمی)
2635,https://basalam.com/hyde-store/product/23816705,گیاه مرزنجوش با کیفیت عالی، بار امسالی و تازه(500گرمی ),,341000,682000,0.5,,True,https://basalam.com/cat/tools/%D8%AE%D8%A7%DA%A9-%DA%A9%D9%88%D8%AF-%D8%B3%D9%85%D9%88%D9%85?page=56,https://basalam.com/hyde-store/product/23816705::گیاه مرزنجوش با کیفیت عالی، بار امسالی و تازه(500گرمی )
